Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
20620855,7/9/2016 23:06,7/9/2016 23:21,70195,905,1013,Isabella St & Federal St (PNC Park),1015,Federal St & E North Ave,Customer
20620854,7/9/2016 23:06,7/9/2016 23:57,70286,3057,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620883,7/9/2016 23:11,7/9/2016 23:17,70245,301,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620885,7/9/2016 23:12,7/9/2016 23:41,70485,1726,1013,Isabella St & Federal St (PNC Park),1019,42nd St & Butler St,Customer
20620891,7/9/2016 23:14,7/9/2016 23:19,70368,305,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620909,7/9/2016 23:18,7/9/2016 23:29,70150,692,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
20620911,7/9/2016 23:18,7/9/2016 23:55,70429,2193,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620916,7/9/2016 23:19,7/9/2016 23:57,70060,2238,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620925,7/9/2016 23:20,7/9/2016 23:56,70001,2152,1013,Isabella St & Federal St (PNC Park),1013,Isabella St & Federal St (PNC Park),Customer
20620917,7/9/2016 23:20,7/10/2016 1:13,70145,6780,1047,S 22nd St & E Carson St,1047,S 22nd St & E Carson St,Customer
20620948,7/9/2016 23:25,7/10/2016 0:22,70368,3464,1013,Isabella St & Federal St (PNC Park),1047,S 22nd St & E Carson St,Customer
20620946,7/9/2016 23:25,7/10/2016 12:21,70120,46557,1013,Isabella St & Federal St (PNC Park),1047,S 22nd St & E Carson St,Customer
20620959,7/9/2016 23:27,7/10/2016 0:22,70484,3341,1013,Isabella St & Federal St (PNC Park),1047,S 22nd St & E Carson St,Customer
20621045,7/9/2016 23:40,7/9/2016 23:49,70091,565,1038,Boulevard of the Allies & Parkview Ave,1038,Boulevard of the Allies & Parkview Ave,Customer
20621072,7/9/2016 23:46,7/10/2016 10:31,70257,38689,1018,37th St & Butler St,1018,37th St & Butler St,Customer
20621180,7/10/2016 0:15,7/10/2016 0:24,70123,554,1031,Maryland Ave & Ellsworth Ave,1028,Penn Ave & Putnam St (Bakery Square),Customer
20621200,7/10/2016 0:21,7/10/2016 0:52,70189,1867,1046,S 25th St & E Carson St,1041,Fifth Ave & S Bouquet St,Customer
